file,instance_name,n,num_constraints,gamma,eta0_tuned,num_runs,all_converged_to_stationary,all_binary,all_feasible,all_strict_local_min_certified,any_saddle_evidence,avg_iterations,avg_runtime_sec,max_binarity_error,metadata
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n20_m30_r3-5_set_packing_s124.json,random_unit_n20_m30_set_packing,20,30,2.010023175880704,0.125,20,True,True,True,True,False,11.0,0.008091568946838379,0.0,"{""capacity_mode"": ""set_packing"", ""generator"": ""random_unit_packing"", ""row_size_range"": [3, 5]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n20_m30_r3-5_tight_s108.json,random_unit_n20_m30_tight,20,30,2.0206611051158574,0.25,20,True,True,True,True,False,6.75,0.005297172069549561,0.0,"{""capacity_mode"": ""tight"", ""generator"": ""random_unit_packing"", ""row_size_range"": [3, 5]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n20_m30_r4-7_half_s117.json,random_unit_n20_m30_half,20,30,1.9908749267548163,0.125,20,True,True,True,True,False,12.25,0.012366676330566406,0.0,"{""capacity_mode"": ""half"", ""generator"": ""random_unit_packing"", ""row_size_range"": [4, 7]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n20_m30_r4-7_mixed_s101.json,random_unit_n20_m30_mixed,20,30,2.0848125490041767,0.125,20,True,True,True,True,False,13.2,0.013756847381591797,0.0,"{""capacity_mode"": ""mixed"", ""generator"": ""random_unit_packing"", ""row_size_range"": [4, 7]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n20_m30_r4-7_set_packing_s125.json,random_unit_n20_m30_set_packing,20,30,2.0867336330864306,0.125,20,True,True,True,True,False,21.0,0.01818770170211792,0.0,"{""capacity_mode"": ""set_packing"", ""generator"": ""random_unit_packing"", ""row_size_range"": [4, 7]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n20_m30_r4-7_tight_s109.json,random_unit_n20_m30_tight,20,30,1.897021450621082,0.5,20,True,True,True,True,False,8.2,0.011153531074523926,0.0,"{""capacity_mode"": ""tight"", ""generator"": ""random_unit_packing"", ""row_size_range"": [4, 7]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n20_m45_r3-5_half_s118.json,random_unit_n20_m45_half,20,45,1.954404937433231,0.125,20,True,True,True,True,False,13.7,0.014031434059143066,0.0,"{""capacity_mode"": ""half"", ""generator"": ""random_unit_packing"", ""row_size_range"": [3, 5]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n20_m45_r3-5_mixed_s102.json,random_unit_n20_m45_mixed,20,45,2.052794100140364,0.125,20,True,True,True,True,False,9.75,0.011337518692016602,0.0,"{""capacity_mode"": ""mixed"", ""generator"": ""random_unit_packing"", ""row_size_range"": [3, 5]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n20_m45_r3-5_set_packing_s126.json,random_unit_n20_m45_set_packing,20,45,2.0695899553808133,0.125,20,True,True,True,True,False,14.0,0.014083456993103028,0.0,"{""capacity_mode"": ""set_packing"", ""generator"": ""random_unit_packing"", ""row_size_range"": [3, 5]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n20_m45_r3-5_tight_s110.json,random_unit_n20_m45_tight,20,45,2.04372813461195,0.5,20,True,True,True,True,False,7.3,0.009709715843200684,0.0,"{""capacity_mode"": ""tight"", ""generator"": ""random_unit_packing"", ""row_size_range"": [3, 5]}"
